true_label,pred_label,x,y,z,datatime_idx
0,0,2.8637195,0.09719023,0.37917608,29
4,4,1.2789024,2.7045927,0.8689664,1506
2,2,0.1739741,-1.6729321,0.88690615,637
0,0,3.050416,-0.2786581,-0.831596,146
3,3,-3.5937138,2.8722115,-1.9257473,1132
3,3,-2.1114395,3.1212704,-1.6136006,1011
3,3,-3.8115392,2.5454762,-1.4314586,993
0,0,2.4788914,0.19845171,-0.29059985,13
1,1,1.4439254,-2.7479844,-1.3060088,567
3,3,-5.3827806,1.7050743,-1.6106138,961
4,4,1.2256734,2.6544113,2.0380294,1349
0,0,2.6754136,-0.10010047,0.47925663,273
0,0,2.686951,-0.1681031,0.8249815,298
2,2,0.79684186,-2.1390977,1.3796456,711
1,1,0.40283594,-2.3690035,-1.3161385,417
0,0,2.739504,0.001737908,-0.9029442,90
2,2,0.08225766,-2.0568473,2.1739674,733
2,2,1.3113441,-1.8416607,1.3977733,915
0,0,2.889654,0.29053408,-0.11788676,21
3,3,-6.2518754,3.5630784,-1.2373104,1148
4,4,1.9113327,1.9314876,1.5830235,1476
2,2,0.90491503,-2.3042789,1.446307,655
3,3,-2.7088804,3.6135979,-0.73862505,1085
0,0,3.0317411,1.1843364,-0.14784625,230
2,2,1.3493783,-1.8841897,1.9286809,800
1,1,-0.78802824,-2.0096712,-1.3735486,445
0,0,2.9856243,0.6349818,-0.47282386,197
2,2,0.33373067,-2.5009623,1.1760802,712
1,1,-0.15378508,-2.0342333,-2.023689,512
1,1,0.63166654,-2.1508458,-1.6546736,605
1,1,0.9592486,-2.5394886,-2.015888,597
0,0,2.5988727,-0.23501883,-0.11694887,82
4,4,1.9456409,0.96305275,2.167563,1321
1,1,0.11008111,-2.579614,-1.3894204,573
3,3,-4.5412874,3.2786174,-1.7179799,1135
3,3,-3.7128835,1.8776907,-1.6533957,1194
3,3,-3.9190443,2.292187,-0.73782176,972
4,4,0.81365645,2.184885,1.051673,1264
1,1,0.00537768,-2.574545,-1.5689434,482
3,3,-3.851129,3.820647,-1.1025264,1186
3,3,-3.6702337,2.635698,-1.4457499,974
3,3,-2.9454958,2.82971,-2.0723774,1129
0,0,2.8414567,0.62782747,-0.18642518,115
0,0,2.3968785,0.32379687,0.37320763,257
1,1,1.0345758,-2.1844497,-0.9299571,608
2,2,0.82947177,-2.6172185,1.7808223,847
0,0,3.0935524,0.54359406,-0.5454136,292
0,0,2.5608795,-0.51474345,-0.45563167,276
2,2,0.44904226,-1.5686958,1.9579505,905
4,4,1.2347405,2.4137251,-0.25775778,1401
1,1,-0.1582017,-1.9627892,-2.0630915,546
0,0,2.163579,-0.2024902,0.41501373,161
2,2,1.038614,-2.6140187,1.4291275,684
2,2,-0.4567641,-2.268232,1.8309946,757
0,0,2.016807,-0.5161153,-0.26023057,244
2,2,-0.29528815,-2.2437387,2.0861883,767
4,4,2.1510816,2.8660283,0.5920452,1230
2,2,0.6076398,-1.9665446,0.65754706,747
3,3,-5.0251923,2.6586833,-1.1554415,1139
2,2,1.0097952,-2.0761337,0.8596575,620
4,4,1.7491899,1.8077155,0.43859237,1503
1,1,0.6033983,-2.3910186,-1.050009,435
3,3,-7.401299,2.7273808,-1.9572971,969
4,4,1.9424102,3.072871,0.9678691,1312
2,2,0.7018998,-2.0945888,1.63874,678
2,2,0.71419334,-2.5748808,0.8834048,612
1,1,0.9864843,-2.3678465,-1.5710369,354
1,1,0.029630877,-2.2481577,-1.9064555,345
2,2,0.22864065,-1.7163191,1.5887458,645
3,3,-3.3673327,3.6167617,-0.5304862,1216
3,3,-3.5216436,2.9316533,-2.069254,1037
0,0,3.1963792,0.5057201,-0.078967735,116
1,1,0.11285895,-2.0808926,-2.0783844,580
0,0,2.9117744,-0.36895514,1.6598799,58
0,0,2.3466659,0.5530299,0.58574784,126
0,0,2.3780599,-0.00689137,-0.57204384,162
0,0,2.6750457,-1.0971078,0.054845035,240
1,1,0.2541821,-2.1955721,-1.7017008,320
1,1,0.77841276,-2.1699772,-1.7089005,562
2,2,-0.25103202,-1.6216084,1.3617055,869
2,2,0.6962669,-2.1088855,0.87218475,868
1,1,0.76371396,-2.2052104,-1.8081957,394
3,3,-2.6689806,3.4044614,-0.6714444,1155
1,1,1.0432228,-2.50176,-1.5196157,604
0,0,2.3902452,0.895404,0.14151296,267
2,2,0.27454573,-2.5427794,2.7777193,669
0,0,2.8291492,0.53935874,-0.1870017,168
4,4,0.9011144,2.4900978,0.56317055,1381
4,4,1.5422736,1.8018461,1.3158278,1310
4,4,1.3499873,2.5159154,1.9126863,1460
3,3,-5.4729085,2.640267,-1.6943469,1003
1,1,0.17597626,-2.5815024,-0.66364056,381
0,0,2.3730843,1.234935,0.5980073,300
3,3,-4.3663025,3.1669114,-2.3324294,1193
1,1,-0.5208757,-2.0159936,-1.6930258,551
0,0,2.7281752,1.0637187,0.73532915,27
3,3,-2.7372704,3.5148747,-0.79751825,947
4,4,1.671065,2.1656578,1.4224325,1284
3,3,-3.8926759,2.5400748,-2.0074098,1195
3,3,-5.2922516,2.7218752,-2.4834583,1091
0,0,2.8848245,0.2550718,-0.51663804,179
4,4,1.398568,1.6616973,1.8776609,1425
1,1,0.42399812,-2.707974,-2.3577492,594
2,2,0.3638841,-2.2761943,0.88631296,892
0,0,2.0306175,0.053436324,0.30238146,245
1,1,0.4196589,-1.6147084,-2.0687175,583
1,1,-0.49331793,-2.003553,-1.6437347,415
2,2,0.077092886,-1.6707183,1.1006967,705
0,0,2.9847596,0.26668203,-0.324149,181
3,3,-6.2203364,3.753824,-0.7947026,1189
1,1,1.9030547,-1.4706078,-2.1804056,359
4,4,1.4717644,3.2576272,-0.046315193,1338
2,2,1.2240077,-2.5290024,1.2775983,713
2,2,-0.93229,-2.5009701,0.82603,617
2,2,0.3225408,-1.9746368,1.3876386,670
0,0,2.1790967,0.07177125,-0.25883704,71
0,0,2.3020062,-0.5302529,0.001907669,73
0,0,2.098988,-0.832724,-0.033143114,239
2,2,0.1820535,-1.7240157,1.5392137,807
4,4,1.4136307,2.206436,1.6245449,1400
2,2,0.002522036,-2.530163,1.5099897,791
