true_label,pred_label,x,y,z,datatime_idx,,—\‘ªƒ‰ƒxƒ‹,x•½‹Ï,y•½‹Ï,z•½‹Ï
0,0,2.6090553,0.1091918,0.5245851,130,,,,,
0,0,2.5438757,0.53322923,0.28669232,131,,,,,
0,0,2.753942,0.5518651,0.42061454,132,,,,,
0,0,2.9155302,0.5595278,0.19472417,133,,,,,
0,0,2.852696,0.5874117,0.41660392,134,,,,,
0,0,2.5415788,0.28409845,0.6155598,135,,,,,
0,0,2.3536956,0.1475301,0.068243645,136,,,,,
0,0,2.5113583,-0.21574815,-0.07201511,137,,,,,
0,0,2.336334,-0.094845146,-0.5323087,138,,,,,
0,0,2.4297242,-0.0508437,-0.24409175,139,,,,,
0,0,2.4853835,-0.18830806,-0.26995367,140,,,,,
0,0,2.5760663,-0.2866229,0.07896887,141,,,,,
0,0,2.3076587,-0.26272014,-0.1211029,142,,,,,
0,0,2.459897,-0.028489187,-0.2888962,143,,,,,
0,0,2.5562658,-0.036340058,0.17674568,144,,,,,
0,0,2.514598,0.18221337,0.31390804,145,,,,,
0,0,2.4415355,-0.05059754,-0.35349602,146,,,,,
0,0,2.7156925,-0.13340124,-0.014498889,147,,,,,
0,0,2.5756836,0.17860985,0.06445685,148,,,,,
0,0,2.329738,0.000717506,0.22548309,149,,,,,
0,0,2.4735599,0.023198038,0.1256848,150,,,,,
0,0,2.6374598,0.4603039,0.010691807,151,,,,,
0,0,2.6471496,0.06477524,-0.118368804,152,,,,,
0,0,2.2618208,-0.16071142,0.18052492,153,,,,,
0,0,2.5908234,0.5880769,-0.09224309,154,,,,,
0,0,2.4658341,0.39939776,0.003444672,155,,,,,
0,0,2.693678,0.7644937,-0.008757681,156,,,,,
0,0,2.6168747,0.46086985,0.021737441,157,,,,,
0,0,2.564122,0.44619074,-0.041411325,158,,,,,
0,0,2.3446608,0.3572259,0.32020003,159,,,,,
0,0,2.4504209,0.34517646,0.426197,160,,,,,
0,0,2.39763,0.21004763,0.28271034,161,,,,,
0,0,2.425539,0.33757287,0.27177235,162,,,,,
0,0,2.1725736,0.43007782,0.44955578,163,,,,,
0,0,2.487631,0.08414218,0.4861334,164,,,,,
0,0,2.489276,0.4710833,0.328689,165,,,,,
0,0,2.7185955,0.6788496,0.40776917,166,,,,,
0,0,2.8343725,0.60965014,0.17744707,167,,,,,
0,0,2.6747582,0.60988504,0.38972777,168,,,,,
0,0,2.5487025,0.27397937,0.7068636,169,,,,,
0,0,2.3507557,0.16313103,-0.042622454,170,,,,,
0,0,2.5167212,-0.23895372,-0.14214328,171,,,,,
0,0,2.4346044,-0.0753513,-0.5310658,172,,,,,
0,0,2.3958857,-0.0695208,-0.37546933,173,,,,,
0,0,2.4091449,-0.16864753,-0.26440042,174,,,,,
0,0,2.6079154,-0.2669036,-0.005446494,175,,,,,
0,0,2.3151374,-0.24996486,-0.14910369,176,,,,,
0,0,2.4943085,-0.008274391,-0.28515399,177,,,,,
0,0,2.4379277,-0.008572787,0.23034719,178,,,,,
0,0,2.6265473,0.30910474,0.31837502,179,,,,,
0,0,2.501812,0.019417554,-0.36453336,180,,,,,
0,0,2.7315688,-0.027910668,-0.056030884,181,,,,,
0,0,2.6919942,0.2939363,0.029867455,182,,,,,
0,0,2.3818495,0.09784247,0.12365077,183,,,,,
0,0,2.5399578,0.08848871,0.15483868,184,,,,,
0,0,2.6944,0.4999087,-0.015597716,185,,,,,
0,0,2.6852717,0.13987683,-0.17718694,186,,,,,
0,0,2.2646246,-0.20586176,0.21301456,187,,,,,
0,0,2.5793557,0.6226508,-0.14913255,188,,,,,
0,0,2.411462,0.31628278,-0.015778586,189,,,,,
0,0,2.7373774,0.727933,0.006060958,190,,,,,
0,0,2.653944,0.4854634,0.036505684,191,,,,,
0,0,2.57603,0.49718946,-0.10967314,192,,,,,
0,0,2.38715,0.40000826,0.26845366,193,,,,,
0,0,2.6373575,0.44883737,0.35587123,194,,,,,
0,0,2.393703,0.13094729,0.29508543,195,,,,,
0,0,2.275166,0.40249866,0.22729027,196,,,,,
0,0,2.480723,0.4548719,0.3254348,197,,,,,
0,0,2.3949637,0.08162061,0.39012688,198,,,,,
0,0,2.3765187,0.47656593,0.19422674,199,,,,,
0,0,2.7878017,0.69543743,0.42073405,200,,,,,
0,0,2.908235,0.71513355,-0.022313043,201,,,,,
0,0,2.7965212,0.6928029,0.2543357,202,,,,,
0,0,2.5766513,0.30375075,0.6725582,203,,,,,
0,0,2.3127193,0.08198917,-0.055942867,204,,,,,
0,0,2.550242,-0.15153986,-0.09472521,205,,,,,
